\x33cd121c2e167fcc9a3327e8271e52a373ca3d69         # eETH
\xef563bb56f312c42bab13549e9182487d0b3ee81         # ETH
\x3f08353b593930162518af83fc92a8fba7677d3f         # eBTC
\x6cc1d7ba4e32cdfd3e1208726ee4177d286eb89a         # BTC
\x414c32265c9800ac67cbd788cb8548b5895d6eb7         # eDAI
\x0d5c6e17e22acf3961e93f7b0be53de460de4017         # DAI
\x1aad98956ed98401c572e3276139b0c3a9b06b6d         # eUNI
\x8c3f3907955ceade37db2de30e2b078b46f5b982         # eBNB
\x0ac69692846c05d17178a2972b4e2f2d51921923         # eVAX
\x53f50a84e11e769e203e57523f1340290427ca23         # eDOGE
\x065d98519bf81821ff5ba6237e9ef9ef5839883c         # eCAKE
\x584de6cfc8b346c9045d02478fc9aa2e9090d374         # eADA
\x890a0a8fc0f2abd36b1125671267fdda6abb66b5         # eATOM
\xcc302a29067b80991ea5b4b35420de4b4ce0c261         # eSOL
\x7056139305506e4bd2e563cedf580fe8ba624fbd         # ETC
\x5902bacf72ba65b7443d95dae5f8fa68106ea5be         # MATIC
\xc9d1c0646201c05a0fce17b951505645ee2c8743         # WNRG
\xae1069d4d5d1416a164830643756b33ee909f868         # WRNG
\xc5e3e6266f276f7c91c3b1f4d8f78d7e9af9d265         # WRNG
\x4f77df624f88848fb43f6b9bd7d4e4a0ce68de8c         # WRNG
\x7d79c7a96577cfab2a7006b32bec1fecbdcbd7f1         # WRNG
\xee13cbc90bcd87598092b322f9a54cf061eed6b8         # WRNG
\x212b4da23832df556bffd0467a02d902bf158841         # WRNG
\xa36336dfb082205f96455f5d282d4bcdb831f084         # WRNG
\xf076798cfc7a924321124c2f9f3ebdf3d7f679d8         # eBTC
\x9db7e49090b19ee90a04a2532e369b8e15d3ff9c         # eBTC
\x7f020a4e7eb9ac338927986b18a2018886ca8830         # ETH
\x38d095b1da0c3c268a4a6100a23405efa2ac5404         # ETH
\x8614a0cbb52b6cba11d8663eeadec30b630b7622         # ETH
\xa894e47519b6ecc5da2cb52fecbd35ebb0c87619         # eUSD
\xa540aE747aad7ab1A26Bed54F5cc6790Ed1121c8         # eUSD
\xA688Ec664Dd23B10ec3F5c13aD2230dC016Ac88C         # eUSD
\x4ee98ef316449152232e5497de659cecb8622041         # UNI-V1
\xc8d7d1b07044655d3ad22512295b41bb28c24f5c         # UNI-V1
\x32ba2d855d27920a33b857046e68fccb89070588         # UNI-V1
\xf9e64b0878291a5bfea863c6a57ecbefc0e1cc6f         # UNI-V1
\x128087ae67a6756c0f57a6352c1cacd3604140cc         # UNI-V1
\x53f1c1e8cc044e2ef8ed7e6c4a26f85c81845b06         # UNI-V2
\xd7a3ff43b6d368ea701043439f49b423c452728c         # UNI-V2
\x7dc4252a8590306fbc73d12f747faf73566ceec8         # UNI-V2
\x563023f5002ebc12d6bbce34df29e226e952362d         # UNI-V2
\x26085a9c79e0d273aae676e528c718c2de833e15         # UNI-V2
\x981d043a5b84bb645ea1fc60557cc8f35d0dfb90         # UNI-V2
\x10f078b3b8db8fad7b94e1366734cf930c3ab12e         # UNI-V2
\xb95c7ef15dd05657ce3665cae6bcdd63350bb251         # UNI-V2
\x474a12ae66bd58d63f3ee7e27112a62e20db0fe5         # UNI-V2
\x9bdc8eda0ef54ef0988a27eb8f8c1526a85d75ba         # UNI-V2
\x37c5db5ab20bda858b02d0ff6079276e2fab5640         # UNI-V2
\x258c9c82cec425fc2ffc3096e90079a16b6ea008         # UNI-V2
\x5a0c8860e71cd7484c11ed119cccd197f4371229         # UNI-V2
\x3757a124d11395a144d8121588e6bea94b54f7fe         # UNI-V2
\x3859731e8e4c3a7a3fd788d1f61280bfacd34ca2         # TST
\x9fa74c1cdbfd184b8e7e9d62f11dfa64b2398370         # TST
\x14d8024d881d270741b7aaecf493c8aaf84b9ec6         # TST
\x6cc5341cb4b2bfa1b5d138d3667c3b711f8fc3b9         # TERC20
\x616b6fb6d7be5d76a0b234e3fc562d5a249061a1         # TA
\xe85353790ee6252a5fa5a0e56c03a891d4caebda         # TB
\xb97809f4c67cae76c04d7ec9bb12464d43df36e6         # ALICE
\xa2c064c72440569efbd90d4374202a540cf7ea80         # ALICE
\x849915f8c5eb94e38b5f702d44ec4585f88c6ff6         # ALICE
\xf74d9fcc265df817d3844ca8cc1f22e0c0615385         # BOB
\x9cb9248219c8e836f9cbf09d9023491a6bcb3523         # BOB
\xb67b75541756f9e3bc2179560f924ed78404b15a         # BOB
\x7b8c2a4fdd40dd0ebbdd1c5c5b3c6a263e753f6c         # DINALDA
\xdd75c978338d264bffd270c647363c2e7a993181         # TKN1
\x004fe4babffb1e1accb69cd3d0cad4336c261e77         # ESWAP
